key,value,date
40-44M,0,01:20
40-44F,5,01:20
35-39M,0,01:20
35-39F,5,01:20
30-34M,1,01:20
30-34F,4,01:20
25-29M,1,01:20
25-29F,3,01:20
20-24M,2,01:20
20-24F,0,01:20
15-19M,0,01:20
15-19F,1,01:20
11-14M,0,01:20
11-14F,0,01:20
0-10M,0,01:20
0-10F,0,01:20
80-97M,0,01:30
75-79M,0,01:30
70-74M,0,01:30
70-74F,0,01:30
65-69M,1,01:30
65-69F,0,01:30
60-64M,0,01:30
60-64F,0,01:30
55-59M,0,01:30
55-59F,2,01:30
50-54M,0,01:30
50-54F,2,01:30
45-49M,0,01:30
45-49F,4,01:30
40-44M,0,01:30
40-44F,0,01:30
35-39M,0,01:30
35-39F,1,01:30
30-34M,0,01:30
30-34F,0,01:30
25-29M,0,01:30
25-29F,0,01:30
20-24M,0,01:30
20-24F,0,01:30
15-19M,0,01:30
15-19F,0,01:30
11-14M,0,01:30
11-14F,0,01:30
0-10M,0,01:30
0-10F,0,01:30
80-97M,0,01:40
75-79M,0,01:40
70-74M,0,01:40
70-74F,0,01:40
65-69M,0,01:40
65-69F,0,01:40
60-64M,0,01:40
60-64F,0,01:40
55-59M,0,01:40
55-59F,0,01:40
50-54M,0,01:40
50-54F,0,01:40
45-49M,0,01:40
45-49F,2,01:40
40-44M,0,01:40
40-44F,1,01:40
35-39M,2,01:40
35-39F,2,01:40
30-34M,0,01:40
30-34F,1,01:40
25-29M,0,01:40
25-29F,0,01:40
20-24M,0,01:40
20-24F,0,01:40
15-19M,0,01:40
15-19F,0,01:40
11-14M,0,01:40
11-14F,0,01:40
0-10M,0,01:40
0-10F,0,01:40
80-97M,0,01:50
75-79M,0,01:50
70-74M,0,01:50
70-74F,0,01:50
65-69M,0,01:50
65-69F,0,01:50
60-64M,0,01:50
60-64F,0,01:50
55-59M,0,01:50
55-59F,0,01:50
50-54M,0,01:50
50-54F,0,01:50
45-49M,0,01:50
45-49F,0,01:50
40-44M,0,01:50
40-44F,0,01:50
35-39M,0,01:50
35-39F,0,01:50
30-34M,0,01:50
30-34F,0,01:50
25-29M,0,01:50
25-29F,0,01:50
20-24M,0,01:50
20-24F,0,01:50
15-19M,0,01:50
15-19F,0,01:50
11-14M,0,01:50
11-14F,0,01:50
0-10M,0,01:50
0-10F,0,01:50
